BRCODE,BRANCH_NAME,CIRCD,CIRCLE,NETWORK,MODCD,MODULE,REGION,POPCD,POPULATION,STATECD,STATE,DISTCD,DISTRICT,MICR,CENTRECD,CENTERNAME
12189,PUSHPRAJGARH,8,BHOPAL,2,4,JABALPUR,4,1,Rural,20,MADHYA PRADESH,75,ANUPPUR,,7210321, KIRGI
12190,AKODIA MANDI,8,BHOPAL,1,2,INDORE,4,2,Semi-Urban,20,MADHYA PRADESH,76,SHAJAPUR,465002016,7320033,AKODIA
12191,KHARGAPUR,8,BHOPAL,2,3,GWALIOR,3,2,Semi-Urban,20,MADHYA PRADESH,84,TIKAMGARH,472002015,7430103,KHARGAPUR
12192,MARKET AREAUMARIA,8,BHOPAL,2,4,JABALPUR,4,2,Semi-Urban,20,MADHYA PRADESH,35,UMARIA,484002042,7030004,UMARIA
12193,SATI VIDISHA,8,BHOPAL,1,1,BHOPAL,3,3,Urban,20,MADHYA PRADESH,88,VIDISHA,464002024,7350006,VIDISHA
12194,IIFM BHOPAL,8,BHOPAL,1,1,BHOPAL,2,4,Metro,20,MADHYA PRADESH,10,BHOPAL,462002060,7640009,BHOPAL
12268,KABIR CHOWK RAIGARH,8,BHOPAL,3,6,BILASPUR,3,3,Urban,7,CHATTISGARH,52,RAIGARH,,7580006,RAIGARH
12269,KOTRA ROAD RAIGARH,8,BHOPAL,3,6,BILASPUR,3,3,Urban,7,CHATTISGARH,52,RAIGARH,,7580006,RAIGARH
12270,GWARIGHAT RDJABALPUR,8,BHOPAL,2,4,JABALPUR,1,4,Metro,20,MADHYA PRADESH,38,JABALPUR,482002032,7100008,JABALPUR
12271,BILLAHARI MANDLA RDJABALPUR,8,BHOPAL,2,4,JABALPUR,1,4,Metro,20,MADHYA PRADESH,38,JABALPUR,482002031,7100008,JABALPUR
12272,SIDHI CITY,8,BHOPAL,2,4,JABALPUR,3,2,Semi-Urban,20,MADHYA PRADESH,80,SIDHI,486002053,7480034,SIDHI
12273,HOSPITAL ROAD GADARWARA,8,BHOPAL,2,4,JABALPUR,5,2,Semi-Urban,20,MADHYA PRADESH,48,NARSINGHPUR,487002014,7140004,GADARWARA
12275,BAGH MUGALIYA BHOPAL,8,BHOPAL,1,1,BHOPAL,2,4,Metro,20,MADHYA PRADESH,10,BHOPAL,462002061,7640009,BHOPAL
12276,SME JAGDALPUR,8,BHOPAL,3,5,RAIPUR,4,3,Urban,7,CHATTISGARH,4,BASTAR,494002160,7620005,JAGDALPUR
12277,SME BHILAI,8,BHOPAL,3,5,RAIPUR,3,3,Urban,7,CHATTISGARH,26,DURG,490002017,7500008,BHILAI NAGAR
12278,SME DURG,8,BHOPAL,3,5,RAIPUR,3,3,Urban,7,CHATTISGARH,26,DURG,491002005,7500017,DURG
12279,SME RAIGARH,8,BHOPAL,3,6,BILASPUR,3,3,Urban,7,CHATTISGARH,52,RAIGARH,496002151,7580006,RAIGARH
12280,SME RAJNANDGAON,8,BHOPAL,3,5,RAIPUR,3,3,Urban,7,CHATTISGARH,60,RAJNANDGAON,491002024,7660026,RAJNANDGAON
12282,SME KATNI,8,BHOPAL,2,4,JABALPUR,4,3,Urban,20,MADHYA PRADESH,37,KATNI,483002007,7090006,MURWARA(KATNI)
12283,SME REWA,8,BHOPAL,2,4,JABALPUR,3,3,Urban,20,MADHYA PRADESH,64,REWA,486002028,7470006,REWA
12284,SME SAUGOR,8,BHOPAL,2,4,JABALPUR,5,3,Urban,20,MADHYA PRADESH,66,SAGAR,470002325,7050007,SAGAR
12286,PBBNEHRU NAGAR BILASPUR,8,BHOPAL,3,6,BILASPUR,1,3,Urban,7,CHATTISGARH,12,BILASPUR,495002018,7540007,BILASPUR
12287,PBB NEHRU NAGARBHILAI,8,BHOPAL,3,5,RAIPUR,3,3,Urban,7,CHATTISGARH,26,DURG,490002016,7500008,BHILAI NAGAR
12288,PBB RAIGARH,8,BHOPAL,3,6,BILASPUR,3,3,Urban,7,CHATTISGARH,52,RAIGARH,496002150,7580006,RAIGARH
12289,PBB CENTRAL AVENUE RAIPUR,8,BHOPAL,3,5,RAIPUR,1,4,Metro,7,CHATTISGARH,54,RAIPUR,492002028,7600008,RAIPUR
12290,PBB CHHINDWARA,8,BHOPAL,1,1,BHOPAL,6,3,Urban,20,MADHYA PRADESH,16,CHHINDWARA,,7150006,CHHINDWARA
